,player,club,matches,minutes,goals,assist,started,substituted,meters_run,red,yellow,shots,goals_percentage,xG,chances_created,open_chances,succesfull_pass_percentage,clearances,blocks,interceptions,tackles,ground_duels_won,aerial_duels_won,sprints,top_speed,average_speed,run_high_speed,goals_in_box,goals_outside_box,goals_freekick,goals_headers,goals_pen,goals_left_foot,goals_right_foot,goals_against,shot_against,saves,save_percentage,clean_sheets,saves_from_shots_in_box,saves_from_outside_box,balls_catched,balls_punched,passes,completed_pass_percentage,long_passes,long_passes_percentage,succesfull_pass_own_half_percentage,succesfull_pass_opp_half_percentage,forward_pass_percentage,backwards_pass_percentage,sideway_passes_percentage,gameweek
0,S. Mandé,OB,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0%,0%,0%,0%,0%,0%,gw03
1,N. Flø,SJE,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0%,0%,0%,0%,0%,0%,gw03
2,S. v. Bladeren,SIF,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0%,0%,0%,0%,0%,0%,gw03
3,D. G. Andersen,AGF,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0%,0%,0%,0%,0%,0%,gw03
4,A. Hansen,AaB,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0%,0%,0%,0%,0%,0%,gw03
5,H. C. Bernat,OB,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0%,0%,0%,0%,0%,0%,gw03
6,E. Olafsson,FCM,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0%,0%,0%,0%,0%,0%,gw03
7,T. Mikkelsen,BIF,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0%,0%,0%,0%,0%,0%,gw03
8,J. Dakir,RFC,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0%,0%,0%,0%,0%,0%,gw03
9,K. Johnsson,FCK,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0%,0%,0%,0%,0%,0%,gw03
