,player,club,matches,minutes,goals,assist,started,substituted,meters_run,red,yellow,shots,goals_percentage,xG,chances_created,open_chances,succesfull_pass_percentage,clearances,blocks,interceptions,tackles,ground_duels_won,aerial_duels_won,sprints,top_speed,average_speed,run_high_speed,goals_in_box,goals_outside_box,goals_freekick,goals_headers,goals_pen,goals_left_foot,goals_right_foot,passes,completed_pass_percentage,long_passes,long_passes_percentage,succesfull_pass_own_half_percentage,succesfull_pass_opp_half_percentage,forward_pass_percentage,backwards_pass_percentage,sideway_passes_percentage,gameweek
0,A. Kamara,RFC,3,208,2,0,3,2,0,0,0,8,25%,2.3,1,0,78.9%,5,0,1,1,4,8,0,0,0,0,2,0,0,0,0,2,0,38,78.9%,0,0%,92.9%,70.8%,13.2%,31.6%,55.3%,gw03
1,L. Kramer,VFF,3,270,2,0,3,0,0,0,1,6,33.3%,0.7,0,0,82.6%,13,0,3,5,6,12,0,0,0,0,2,0,0,1,0,1,0,144,82.6%,18,38.9%,94%,56.8%,50%,4.9%,45.1%,gw03
2,B. Kadrii,OB,3,269,1,0,3,1,0,0,0,7,14.3%,1.1,3,1,76%,1,5,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,50,76%,2,50%,84.2%,67.6%,30%,32%,38%,gw03
3,P. Sisto,FCM,2,177,1,0,2,1,0,0,1,3,33.3%,0.4,4,0,84%,0,6,1,1,10,0,0,0,0,0,0,1,0,0,0,0,1,75,84%,5,80%,100%,74.1%,25.3%,25.3%,49.3%,gw03
4,O. Antman,FCN,1,54,1,0,1,1,0,0,0,3,33.3%,0.9,0,0,84.2%,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,19,84.2%,1,100%,88.9%,61.5%,10.5%,31.6%,57.9%,gw03
5,J. Wind,FCK,2,89,1,0,1,1,0,0,0,3,33.3%,0.1,1,0,73.9%,2,1,1,1,1,4,0,0,0,0,0,1,0,0,0,0,1,23,73.9%,0,0%,75%,72.7%,26.1%,30.4%,43.5%,gw03
6,M. Daramy,FCK,3,199,1,0,3,3,0,0,0,8,12.5%,1.3,4,1,83.3%,2,7,2,2,15,1,0,0,0,0,1,0,0,0,0,0,1,66,83.3%,2,100%,87.5%,75.4%,21.2%,39.4%,39.4%,gw03
7,J. Radosevic,BIF,2,180,1,0,2,0,0,0,1,5,20%,0.2,3,1,76%,2,7,2,8,17,0,0,0,0,0,0,1,1,0,0,0,1,121,76%,19,42.1%,81.8%,70.6%,30.6%,11.6%,57.9%,gw03
8,K. Kusk,AaB,3,211,1,0,2,0,0,0,0,3,33.3%,0.6,1,0,75.4%,0,5,2,2,7,0,0,0,0,0,1,0,0,0,0,1,0,65,75.4%,5,80%,100%,65.5%,29.2%,24.6%,46.2%,gw03
9,A. Dreyer,FCM,3,261,1,1,3,1,0,0,0,4,25%,0.7,13,1,74%,1,4,6,1,3,0,0,0,0,0,1,0,0,0,0,1,0,73,74%,6,50%,90%,69.2%,30.1%,20.5%,49.3%,gw03
10,L. Prip,AaB,3,260,1,0,3,1,0,0,0,4,25%,0.2,6,0,86.7%,0,2,3,3,10,1,0,0,0,0,1,0,0,0,0,1,0,75,86.7%,5,60%,92.6%,70.8%,25.3%,29.3%,45.3%,gw03
11,E. Ferreira,FCM,3,269,1,0,3,1,0,0,0,3,33.3%,0.1,5,2,76.9%,3,9,10,11,19,2,0,0,0,0,0,1,0,0,0,0,1,121,76.9%,14,42.9%,84.2%,67.7%,29.8%,10.7%,59.5%,gw03
12,J. Brumado,FCM,3,235,1,0,3,3,0,0,0,5,20%,1.3,1,1,63.5%,5,3,0,3,8,8,0,0,0,0,1,0,0,0,0,1,0,52,63.5%,0,0%,60%,63.2%,17.3%,36.5%,46.2%,gw03
13,J. Skjelvik,OB,3,270,1,0,3,0,0,0,0,2,50%,0.1,3,1,71.4%,9,7,3,4,6,8,0,0,0,0,0,1,0,0,0,1,0,119,71.4%,15,46.7%,67.2%,62.7%,42.9%,14.3%,42.9%,gw03
14,J. J. Thomasen,OB,3,263,1,0,3,1,0,0,0,6,16.7%,0.2,2,1,70%,2,8,2,7,9,4,0,0,0,0,1,0,0,0,0,0,1,160,70%,24,41.7%,77.6%,62.6%,42.5%,9.4%,48.1%,gw03
15,M. Greve,RFC,3,250,1,2,3,3,0,0,1,2,50%,0.2,6,3,77.8%,1,9,4,8,24,6,0,0,0,0,1,0,0,0,0,0,1,117,77.8%,10,60%,88.9%,71.6%,36.8%,23.9%,39.3%,gw03
16,T. Kehinde,RFC,3,211,1,1,3,3,0,0,0,2,50%,0.8,4,2,79.8%,1,6,4,6,20,2,0,0,0,0,1,0,0,0,0,0,1,89,79.8%,6,83.3%,90%,71.8%,22.5%,16.9%,60.7%,gw03
17,K. Wilczek,FCK,3,234,1,0,3,2,0,0,0,7,14.3%,1.4,5,0,69.7%,2,0,0,1,1,8,0,0,0,0,1,0,0,0,0,1,0,33,69.7%,0,0%,100%,59.3%,33.3%,18.2%,48.5%,gw03
18,K. Mensah,BIF,3,270,1,0,3,0,0,0,2,2,50%,0.5,4,1,76.3%,2,6,2,5,13,3,0,0,0,0,1,0,0,0,0,1,0,131,76.3%,19,63.2%,80%,67.6%,39.7%,21.4%,38.9%,gw03
19,M. Uhre,BIF,3,231,1,0,3,3,0,0,0,5,20%,0.9,3,1,64.7%,1,4,0,3,10,4,0,0,0,0,1,0,0,0,0,0,1,34,64.7%,6,33.3%,88.9%,51.7%,11.8%,32.4%,55.9%,gw03
20,Y. Bakiz,VFF,3,233,1,0,3,3,0,0,1,4,25%,0.5,1,0,68.3%,1,3,1,1,7,1,0,0,0,0,1,0,0,0,0,0,1,63,68.3%,9,11.1%,81.5%,53.7%,23.8%,27%,49.2%,gw03
21,W. Faghir,VB,3,270,1,0,3,0,0,0,1,8,12.5%,1.6,3,1,71.4%,4,2,0,1,12,7,0,0,0,0,1,0,0,1,0,0,0,49,71.4%,5,80%,88.2%,62.5%,14.3%,30.6%,55.1%,gw03
22,V. Ekani,SJE,3,270,1,0,3,0,0,0,0,4,25%,0.2,0,0,83.3%,1,4,4,4,9,1,0,0,0,0,1,0,0,0,0,0,1,120,83.3%,12,50%,88.7%,74%,30.8%,18.3%,50.8%,gw03
23,M. Egho,RFC,3,231,1,0,3,3,0,0,0,3,33.3%,1.3,1,0,44.4%,3,4,3,1,3,16,0,0,0,0,1,0,0,0,0,1,0,36,44.4%,2,0%,37.5%,44.8%,36.1%,11.1%,52.8%,gw03
24,J. Thorsteinsson,AGF,2,144,1,0,2,2,0,0,1,3,33.3%,0.2,2,0,67.6%,2,6,1,3,11,0,0,0,0,0,0,1,0,0,0,0,1,34,67.6%,2,50%,100%,58.3%,35.3%,20.6%,44.1%,gw03
25,D. Kurminowski,AGF,3,225,1,0,3,1,0,0,0,3,33.3%,0.9,2,0,67.6%,1,4,0,0,4,4,0,0,0,0,1,0,0,0,0,0,1,34,67.6%,0,0%,100%,61.3%,20.6%,29.4%,50%,gw03
26,C. Cappis,BIF,3,80,1,0,0,0,0,0,0,3,33.3%,0.7,2,0,67.6%,0,4,1,3,7,0,0,0,0,0,1,0,0,0,0,0,1,37,67.6%,5,60%,66.7%,67.9%,40.5%,8.1%,51.4%,gw03
27,K. Diks,FCK,3,129,1,1,1,0,0,0,0,2,50%,0.8,3,0,73.4%,4,5,3,2,3,3,0,0,0,0,1,0,0,1,0,0,0,64,73.4%,9,66.7%,76%,69.8%,28.1%,12.5%,59.4%,gw03
28,O. Villadsen,FCN,3,270,1,0,3,0,0,0,0,2,50%,1.3,4,1,77%,3,7,2,3,8,0,0,0,0,0,1,0,0,0,0,0,1,122,77%,9,55.6%,88.9%,66.7%,18%,28.7%,53.3%,gw03
29,S. Adingra,FCN,3,115,1,0,1,1,0,0,1,4,25%,0.7,1,0,64.3%,0,1,0,2,8,0,0,0,0,0,1,0,0,0,0,0,1,14,64.3%,1,100%,0%,56.3%,21.4%,14.3%,64.3%,gw03
30,P. Schmiedl,SJE,1,1,0,0,0,0,0,0,0,0,0%,0,0,0,66.7%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,66.7%,0,0%,66.7%,0%,66.7%,0%,33.3%,gw03
32,L. Gordinho,VFF,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,0%,0%,0%,0%,0%,gw03
34,M. James,VB,1,8,0,0,0,0,0,0,0,0,0%,0,0,0,85.7%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,85.7%,0,0%,100%,50%,28.6%,14.3%,57.1%,gw03
36,M. Jevtovic,AGF,1,3,0,0,0,0,0,0,0,0,0%,0,0,0,100%,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,100%,0,0%,0%,100%,0%,50%,50%,gw03
37,M. Lumb,BIF,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,0%,0%,0%,0%,0%,gw03
38,V. Lund,FCK,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,0%,0%,0%,0%,0%,gw03
39,S. Piesinger,RFC,3,270,0,0,3,0,0,0,0,1,0%,0.2,2,0,68.4%,9,7,5,3,5,9,0,0,0,0,0,0,0,0,0,0,0,114,68.4%,29,44.8%,77.1%,53.3%,55.3%,7.9%,36.8%,gw03
40,A. E. Thrándarson,OB,2,152,0,0,2,2,0,0,0,0,0%,0,0,0,71.3%,6,4,5,14,19,8,0,0,0,0,0,0,0,0,0,0,0,87,71.3%,7,42.9%,70%,70.8%,44.8%,18.4%,36.8%,gw03
42,I. Mesik,FCN,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,0%,0%,0%,0%,0%,gw03
43,M. K. Hansen,FCM,1,12,0,0,0,0,0,0,0,0,0%,0,0,0,50%,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,50%,1,0%,0%,50%,75%,0%,25%,gw03
46,M. Hansen,SJE,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,0%,0%,0%,0%,0%,gw03
47,O. Fallenius,BIF,2,2,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0%,0,0%,0%,0%,0%,0%,100%,gw03
50,R. Laursen,OB,2,39,0,0,0,0,0,0,0,0,0%,0,1,0,73.9%,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,23,73.9%,4,50%,71.4%,76.5%,43.5%,21.7%,34.8%,gw03
51,D. Høegh,FCM,2,180,0,0,2,0,0,0,1,3,0%,0.6,0,0,69.1%,5,2,6,4,6,7,0,0,0,0,0,0,0,0,0,0,0,94,69.1%,14,28.6%,80.8%,54.8%,56.4%,6.4%,37.2%,gw03
52,J. S. Christensen,FCN,1,6,0,0,0,0,0,0,0,0,0%,0,0,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100%,0,0%,100%,0%,100%,0%,0%,gw03
53,A. Ammitzbøll,AGF,2,51,0,0,0,0,0,0,0,0,0%,0,0,0,50%,0,1,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,8,50%,0,0%,0%,50%,62.5%,0%,37.5%,gw03
54,T. Ibrahimagic,OB,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,0%,0%,0%,0%,0%,gw03
55,O. Sonne,SIF,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,0%,0%,0%,0%,0%,gw03
56,V. Fischer,FCK,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,0%,0%,0%,0%,0%,gw03
57,J. Tverskov,OB,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,0%,0%,0%,0%,0%,gw03
