,club,goals,goals_against,ball_possession,shots_incl_blocked,successfull_pass_percentage,chances_created,open_chances,meters_run,red,yellow,interceptions,tackles,blocks,clearances,freekicks,ground_duels_won,aerial_duels_won,goals_in_box,goals_outside_box,goals_freekick,goals_headers,goals_penalties,goals_fastbreak,goals_left_foot,goals_right_foot,goals_percentage,xG,shots,shot_on_goal,shots_headers,shots_blocked,shots_on_post,shots_in_box,shots_outside_box,var_decisions,changed_goal,changed_no_goal,changed_penalty,changed_no_penalty,red_card_awarded,red_card_changed,yellow_to_red,var_others,passes,long_passes,successfull_long_pass,successfull_pass_own_half_percentage,successfull_pass_opp_half_percentage,forward_pass_percentage,backwards_pass_percentage,sideway_pass_percentage,gameweek
0,RFC,5,2,49.6%,32,72.4%,27,6,0,0,6,55,64,5,56,35,137,79,5,0,0,0,0,0,3,2,20%,5.2,25,14,1,7,0,22,10,0,0,0,0,0,0,0,0,0,1.260,246,43.5%,81.5%,63.2%,43.7%,15.6%,40.6%,gw03
1,FCK,4,2,48.8%,43,77.6%,39,7,0,1,4,54,59,14,63,32,117,61,3,1,0,1,0,0,1,2,12.1%,5.6,33,13,3,10,0,33,10,1,0,1,0,0,0,0,0,0,1.421,219,41.6%,86.5%,67.6%,33.3%,15.4%,51.3%,gw03
2,BIF,4,4,54%,46,77.7%,32,7,0,0,7,33,46,10,55,25,99,48,3,1,1,0,0,0,1,3,10.8%,6.5,37,15,4,9,1,25,21,0,0,0,0,0,0,0,0,0,1.405,251,49.4%,85.3%,66%,36.2%,14.4%,49.4%,gw03
3,FCM,4,2,47.5%,48,70.9%,32,10,0,0,3,42,41,4,49,40,97,58,2,2,0,0,0,0,2,2,11.1%,6,36,15,5,12,1,35,13,1,0,1,0,0,0,0,0,0,1.100,212,39.2%,84.4%,59%,41.4%,15.3%,43.4%,gw03
4,OB,3,4,47.4%,43,69.6%,27,5,0,0,4,26,54,13,62,27,114,77,2,1,0,0,0,0,2,1,8.3%,4.2,36,16,2,7,1,26,17,0,0,0,0,0,0,0,0,0,1.224,221,35.3%,77.4%,62.3%,44.3%,14.5%,41.3%,gw03
5,VFF,3,4,47.9%,40,75.2%,28,4,0,0,11,22,51,18,55,26,96,61,3,0,0,1,0,0,1,1,10%,3.8,30,15,6,10,0,28,12,0,0,0,0,0,0,0,0,0,1.180,194,43.3%,86.3%,58.3%,40.8%,13.1%,46.1%,gw03
6,FCN,3,2,60%,52,79.9%,31,4,0,1,9,25,38,9,33,42,109,42,3,0,0,0,1,0,0,3,7.7%,5.9,39,19,0,13,1,34,18,1,0,0,0,0,0,0,1,0,1.433,189,53.4%,90.2%,67.3%,33.4%,14.7%,51.9%,gw03
7,VB,2,5,52.2%,42,80.2%,35,5,0,0,4,38,37,5,51,40,109,57,2,0,0,2,0,0,0,0,6.9%,3.9,29,9,3,13,0,27,15,0,0,0,0,0,0,0,0,0,1.334,187,54%,89.4%,66.2%,34.3%,13.9%,51.8%,gw03
8,AaB,2,3,53%,29,81.3%,23,1,0,0,6,27,61,8,44,22,97,39,2,0,0,0,0,0,2,0,8%,2.2,25,11,4,4,1,21,8,0,0,0,0,0,0,0,0,0,1.397,171,45%,90.4%,61.8%,33.2%,12.7%,54.1%,gw03
9,AGF,2,3,42.4%,30,68.9%,22,1,0,0,5,37,39,7,67,43,107,66,1,1,0,0,0,1,0,2,8%,2.1,25,9,3,5,1,18,12,0,0,0,0,0,0,0,0,0,1.037,221,40.3%,83.2%,57.5%,46.4%,14.3%,39.3%,gw03
10,SJE,1,2,41.5%,29,77.7%,22,3,0,0,3,39,49,14,55,38,104,51,1,0,0,0,0,0,0,1,4.5%,2.3,22,10,2,7,0,14,15,0,0,0,0,0,0,0,0,0,1.190,205,42%,87.1%,63.3%,38.3%,13.9%,47.8%,gw03
11,SIF,0,0,55.8%,39,85.9%,31,3,0,0,1,33,41,8,54,21,86,29,0,0,0,0,0,0,0,0,0%,3,21,9,1,18,0,22,17,0,0,0,0,0,0,0,0,0,1.900,155,57.4%,89.6%,79.6%,31.5%,15.5%,53%,gw03
